,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD1,OPP_PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
0,1610612737,Atlanta Hawks,60,17,43,0.283,2905.0,2590.0,5439.0,0.476,700.0,1948.0,0.359,1270.0,1641.0,0.774,676.0,2156.0,2832.0,1486.0,909.0,533.0,383.0,310.0,1261.0,1394.0,7150.0,507.0,1,26,29,29,1,30,28,24,16,15,18,30,30,19,29,30,30,25,7,29,30,9,26,1,30,29,10,Atlanta Hawks
1,1610612738,Boston Celtics,58,41,17,0.707,2799.0,2213.0,5015.0,0.441,676.0,1970.0,0.343,1074.0,1413.0,0.76,582.0,1964.0,2546.0,1295.0,883.0,401.0,318.0,324.0,1192.0,1247.0,6176.0,-402.0,8,4,4,4,18,3,6,5,11,18,7,19,19,5,12,7,8,3,8,5,24,8,14,9,4,3,10,Boston Celtics
2,1610612751,Brooklyn Nets,57,26,31,0.456,2771.0,2338.0,5306.0,0.441,670.0,1937.0,0.346,960.0,1260.0,0.762,617.0,2012.0,2629.0,1260.0,736.0,443.0,311.0,261.0,1181.0,1173.0,6306.0,9.0,25,15,15,15,26,14,24,4,10,14,9,7,10,7,23,11,16,2,27,15,22,22,13,17,12,14,10,Brooklyn Nets
3,1610612766,Charlotte Hornets,58,20,38,0.345,2804.0,2431.0,5089.0,0.478,716.0,2015.0,0.355,801.0,1054.0,0.76,629.0,2050.0,2679.0,1552.0,839.0,468.0,296.0,237.0,1196.0,1098.0,6379.0,446.0,8,23,23,23,12,21,10,28,21,22,17,1,1,4,24,20,23,30,16,23,18,26,16,26,15,27,10,Charlotte Hornets
4,1610612741,Chicago Bulls,59,20,39,0.339,2847.0,2331.0,4895.0,0.476,662.0,1876.0,0.353,1153.0,1516.0,0.761,600.0,2091.0,2691.0,1497.0,1065.0,488.0,353.0,237.0,1137.0,1278.0,6477.0,181.0,3,23,24,24,3,13,2,25,8,6,15,28,29,6,19,24,24,27,1,27,28,26,6,6,16,22,10,Chicago Bulls
5,1610612739,Cleveland Cavaliers,58,17,41,0.293,2804.0,2541.0,5200.0,0.489,721.0,1934.0,0.373,852.0,1117.0,0.763,563.0,1918.0,2481.0,1516.0,740.0,540.0,372.0,192.0,1129.0,1069.0,6655.0,473.0,8,26,26,27,12,29,19,30,22,13,26,3,4,9,11,4,4,28,26,30,29,30,5,29,22,28,10,Cleveland Cavaliers
6,1610612742,Dallas Mavericks,59,36,23,0.61,2847.0,2434.0,5380.0,0.452,690.0,2015.0,0.342,960.0,1252.0,0.767,642.0,2030.0,2672.0,1384.0,707.0,415.0,231.0,287.0,1238.0,1137.0,6518.0,-363.0,3,8,11,11,3,22,27,10,13,22,4,7,9,12,26,15,22,10,29,10,3,16,22,24,18,5,10,Dallas Mavericks
7,1610612743,Denver Nuggets,58,40,18,0.69,2814.0,2284.0,5011.0,0.456,657.0,1919.0,0.342,969.0,1285.0,0.754,586.0,1909.0,2495.0,1434.0,832.0,409.0,270.0,273.0,1164.0,1157.0,6194.0,-224.0,8,5,5,5,9,8,5,13,6,11,3,11,14,3,13,2,5,17,21,7,10,19,11,20,5,8,10,Denver Nuggets
8,1610612765,Detroit Pistons,60,19,41,0.317,2905.0,2522.0,5281.0,0.478,647.0,1785.0,0.362,960.0,1234.0,0.778,609.0,2000.0,2609.0,1491.0,842.0,486.0,336.0,280.0,1203.0,1168.0,6651.0,188.0,1,25,26,25,1,28,23,27,4,2,20,7,7,22,21,10,14,26,15,25,27,18,17,18,21,23,10,Detroit Pistons
9,1610612744,Golden State Warriors,58,12,46,0.207,2809.0,2458.0,5160.0,0.476,790.0,2039.0,0.387,967.0,1247.0,0.775,596.0,2126.0,2722.0,1519.0,916.0,486.0,294.0,273.0,1156.0,1150.0,6673.0,526.0,8,30,30,30,10,24,17,26,29,24,30,10,8,20,18,27,28,29,4,25,17,19,10,21,24,30,10,Golden State Warriors
10,1610612745,Houston Rockets,58,38,20,0.655,2794.0,2454.0,5328.0,0.461,704.0,2042.0,0.345,1008.0,1320.0,0.764,642.0,2073.0,2715.0,1478.0,912.0,456.0,291.0,296.0,1215.0,1249.0,6620.0,-279.0,8,7,7,7,20,23,25,17,18,25,8,15,15,10,26,23,27,24,6,19,16,12,21,8,20,7,10,Houston Rockets
11,1610612754,Indiana Pacers,58,34,24,0.586,2804.0,2280.0,5101.0,0.447,665.0,1910.0,0.348,997.0,1266.0,0.788,590.0,2013.0,2603.0,1349.0,834.0,389.0,259.0,295.0,1087.0,1145.0,6222.0,-119.0,8,13,13,13,12,7,12,7,9,9,11,14,11,27,15,12,12,7,17,1,8,14,1,23,6,13,10,Indiana Pacers
12,1610612746,LA Clippers,58,39,19,0.672,2799.0,2286.0,5246.0,0.436,701.0,2044.0,0.343,1095.0,1436.0,0.763,636.0,2025.0,2661.0,1380.0,833.0,465.0,285.0,293.0,1322.0,1283.0,6368.0,-337.0,8,6,6,6,18,9,21,3,17,26,6,21,22,8,25,14,20,9,20,22,15,15,29,5,14,6,10,LA Clippers
13,1610612747,Los Angeles Lakers,56,44,12,0.786,2698.0,2193.0,4907.0,0.447,636.0,1827.0,0.348,992.0,1282.0,0.774,535.0,1807.0,2342.0,1304.0,871.0,460.0,215.0,391.0,1205.0,1148.0,6014.0,-416.0,30,2,2,2,30,1,3,6,2,5,10,13,13,18,4,1,1,4,11,21,1,1,18,22,1,2,10,Los Angeles Lakers
14,1610612763,Memphis Grizzlies,58,28,30,0.483,2789.0,2397.0,5248.0,0.457,750.0,2008.0,0.374,1146.0,1462.0,0.784,591.0,2019.0,2610.0,1446.0,850.0,456.0,315.0,326.0,1155.0,1238.0,6690.0,149.0,8,14,14,14,22,17,22,15,26,21,27,26,26,25,17,13,15,20,13,19,23,7,9,12,26,21,10,Memphis Grizzlies
15,1610612748,Miami Heat,58,36,22,0.621,2829.0,2266.0,5062.0,0.448,747.0,2192.0,0.341,1060.0,1366.0,0.776,536.0,1911.0,2447.0,1437.0,795.0,452.0,247.0,254.0,1257.0,1180.0,6339.0,-186.0,8,8,8,8,8,5,8,8,24,28,2,18,18,21,5,3,2,18,24,17,5,23,25,16,13,9,10,Miami Heat
16,1610612749,Milwaukee Bucks,58,50,8,0.862,2794.0,2246.0,5457.0,0.412,812.0,2259.0,0.359,936.0,1199.0,0.781,559.0,2097.0,2656.0,1384.0,834.0,422.0,264.0,365.0,1246.0,1107.0,6240.0,-709.0,8,1,1,1,20,4,30,1,30,30,19,5,5,23,10,25,19,10,17,13,9,3,23,25,7,1,10,Milwaukee Bucks
17,1610612750,Minnesota Timberwolves,57,17,40,0.298,2776.0,2430.0,5146.0,0.472,659.0,1797.0,0.367,1146.0,1446.0,0.793,588.0,2116.0,2704.0,1352.0,883.0,439.0,319.0,341.0,1249.0,1232.0,6665.0,223.0,25,26,25,26,25,20,16,22,7,3,22,26,23,28,14,26,26,8,8,14,25,4,24,13,23,24,10,Minnesota Timberwolves
18,1610612740,New Orleans Pelicans,58,25,33,0.431,2809.0,2482.0,5339.0,0.465,695.0,1956.0,0.355,1127.0,1435.0,0.785,590.0,2048.0,2638.0,1418.0,834.0,490.0,270.0,300.0,1194.0,1228.0,6786.0,67.0,8,18,17,18,10,27,26,19,15,17,16,24,21,26,15,19,17,16,17,28,10,11,15,14,27,16,10,New Orleans Pelicans
19,1610612752,New York Knicks,58,17,41,0.293,2804.0,2306.0,4967.0,0.464,764.0,2000.0,0.382,1105.0,1490.0,0.742,555.0,2050.0,2605.0,1400.0,814.0,411.0,298.0,273.0,1139.0,1309.0,6481.0,408.0,8,26,26,27,12,11,4,18,27,20,29,22,27,1,9,20,13,13,22,8,19,19,7,3,17,26,10,New York Knicks
20,1610612760,Oklahoma City Thunder,58,36,22,0.621,2804.0,2380.0,5213.0,0.457,652.0,1902.0,0.343,856.0,1078.0,0.794,603.0,1958.0,2561.0,1325.0,809.0,390.0,239.0,286.0,1320.0,1090.0,6268.0,-184.0,8,8,8,8,12,16,20,14,5,8,5,4,2,29,20,6,9,6,23,3,4,17,28,27,9,10,10,Oklahoma City Thunder
21,1610612753,Orlando Magic,58,26,32,0.448,2789.0,2304.0,5020.0,0.459,705.0,1921.0,0.367,840.0,1089.0,0.771,541.0,2127.0,2668.0,1403.0,859.0,395.0,277.0,341.0,1101.0,1020.0,6153.0,86.0,8,15,16,16,22,10,7,16,19,12,23,2,3,15,6,28,21,15,12,4,13,4,3,30,2,17,10,Orlando Magic
22,1610612755,Philadelphia 76ers,59,36,23,0.61,2847.0,2313.0,5076.0,0.456,600.0,1712.0,0.35,1059.0,1425.0,0.743,514.0,1985.0,2499.0,1319.0,847.0,414.0,227.0,329.0,1210.0,1223.0,6285.0,-123.0,3,8,11,11,3,12,9,12,1,1,12,17,20,2,1,9,6,5,14,9,2,6,19,15,10,12,10,Philadelphia 76ers
23,1610612756,Phoenix Suns,59,24,35,0.407,2847.0,2427.0,5134.0,0.473,690.0,1894.0,0.364,1141.0,1460.0,0.782,543.0,2045.0,2588.0,1402.0,965.0,475.0,335.0,232.0,1355.0,1317.0,6685.0,65.0,3,19,21,21,3,19,13,23,13,7,21,25,25,24,7,18,10,14,3,24,26,28,30,2,25,15,10,Phoenix Suns
24,1610612757,Portland Trail Blazers,59,26,33,0.441,2842.0,2460.0,5445.0,0.452,774.0,2068.0,0.374,1111.0,1451.0,0.766,698.0,2129.0,2827.0,1437.0,749.0,405.0,304.0,369.0,1171.0,1265.0,6805.0,126.0,3,15,17,17,7,25,29,9,28,27,28,23,24,11,30,29,29,18,25,6,20,2,12,7,28,20,10,Portland Trail Blazers
25,1610612758,Sacramento Kings,57,24,33,0.421,2766.0,2270.0,4855.0,0.468,688.0,1952.0,0.352,1077.0,1348.0,0.799,521.0,1978.0,2499.0,1399.0,877.0,445.0,252.0,243.0,1099.0,1241.0,6305.0,125.0,25,19,17,19,27,6,1,20,12,16,14,20,17,30,2,8,6,12,10,16,6,25,2,11,11,19,10,Sacramento Kings
26,1610612759,San Antonio Spurs,57,24,33,0.421,2766.0,2402.0,5135.0,0.468,740.0,1986.0,0.373,984.0,1274.0,0.772,530.0,2066.0,2596.0,1465.0,728.0,389.0,254.0,309.0,1122.0,1088.0,6528.0,96.0,25,19,17,19,27,18,14,21,23,19,24,12,12,17,3,22,11,22,28,1,7,10,4,28,19,18,10,San Antonio Spurs
27,1610612761,Toronto Raptors,58,42,16,0.724,2804.0,2193.0,5144.0,0.426,747.0,2232.0,0.335,1021.0,1330.0,0.768,660.0,2031.0,2691.0,1466.0,987.0,415.0,308.0,296.0,1146.0,1242.0,6154.0,-400.0,8,3,3,3,12,1,15,2,24,29,1,16,16,13,28,16,24,23,2,10,21,12,8,10,3,4,10,Toronto Raptors
28,1610612762,Utah Jazz,58,36,22,0.621,2789.0,2343.0,5175.0,0.453,639.0,1820.0,0.351,942.0,1224.0,0.77,544.0,1927.0,2471.0,1215.0,696.0,452.0,276.0,224.0,1212.0,1164.0,6267.0,-170.0,8,8,8,8,22,15,18,11,3,4,13,6,6,14,8,5,3,1,30,17,12,29,20,19,8,11,10,Utah Jazz
29,1610612764,Washington Wizards,57,21,36,0.368,2751.0,2480.0,5091.0,0.487,713.0,1913.0,0.373,1161.0,1505.0,0.771,613.0,2036.0,2649.0,1447.0,916.0,421.0,283.0,245.0,1262.0,1284.0,6834.0,237.0,25,22,22,22,29,26,11,29,20,10,25,29,28,16,22,17,18,21,4,12,14,24,27,4,29,25,10,Washington Wizards
